name,position,url
Anton Refalo,"MINISTER FOR AGRICULTURE, FISHERIES AND ANIMAL RIGHTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Agriculture.aspx
Owen Bonnici,"MINISTER FOR THE NATIONAL HERITAGE, THE ARTS AND LOCAL GOVERNMENT",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Culture.aspx
Silvio Schembri,"MINISTER FOR THE ECONOMY, EUROPEAN FUNDS AND LANDS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Economy.aspx
Clifton Grima,"MINISTER FOR EDUCATION, SPORT, YOUTH, RESEARCH AND INNOVATION",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Education.aspx
Jo Etienne Abela,MINISTER FOR ACTIVE AGEING,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Elderly.aspx
Miriam Dalli,"MINISTER FOR THE ENVIRONMENT, ENERGY AND ENTERPRISE",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Environment.aspx
Clyde Caruana,MINISTER FOR FINANCE AND EMPLOYMENT,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Finance.aspx
Ian Borg,MINISTER FOR FOREIGN AND EUROPEAN AFFAIRS AND TRADE,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Foreign-Affairs.aspx
Clint Camilleri,MINISTER FOR GOZO,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Gozo.aspx
Chris Fearne,DEPUTY PRIME MINISTER,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Health.aspx
Chris Fearne,MINISTER FOR HEALTH,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Health.aspx
Julia Farrugia Portelli,"MINISTER FOR INCLUSION, VOLUNTARY ORGANISATIONS AND CONSUMER RIGHTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Inclusion.aspx
Jonathan Attard,MINISTER FOR JUSTICE,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Justice.aspx
Robert Abela,Prime Minister,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/OPM.aspx
Stefan Zrinzo Azzopardi,MINISTER FOR PUBLIC WORKS AND PLANNING,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Public-Works.aspx
Byron Camilleri,"MINISTER FOR HOME AFFAIRS, SECURITY, REFORMS AND EQUALITY",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Reform.aspx
Michael Falzon,MINISTER FOR SOCIAL POLICY AND CHILDREN'S RIGHTS,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Social-.aspx
Roderick Galdes,MINISTER FOR SOCIAL AND AFFORDABLE ACCOMMODATION,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Social-Accomodation.aspx
Clayton Bartolo,MINISTER FOR TOURISM,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Tourism.aspx
Aaron Farrugia,"MINISTER FOR TRANSPORT, INFRASTRUCTURE AND CAPITAL PROJECTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Transport.aspx
