wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q102423681,"Mr Clint Camilleri BE&A(Hons), MP",Clint Camilleri,male,1988-02-24,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q108265813,MINISTER FOR GOZO,2020-01-20,Q102423681-00A4B480-2547-4B7C-A96E-01144EA3E99E
Q108384543,"Mr Clyde Caruana BCom (Hons), MA (Econ), MP",Clyde Caruana,male,1985-02-21,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q5449540,MINISTER FOR FINANCE AND EMPLOYMENT,2020-11-22,Q108384543-FFA84E9B-4743-47F9-81ED-2309E108CE28
Q16199692,"Dr Owen Bonnici BA, LLD, MP",Owen Bonnici,male,1980-05-24,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q108265751,"MINISTER FOR EQUALITY, RESEARCH AND INNOVATION",2008-05-10,Q16199692-97735DDD-1DA0-491D-AEEE-053391471210
Q17315715,"Dr Miriam Dalli LLD, MBA (Exec), MA (Eur), BA (Hons), MP",Miriam Dalli,female,1976-05-19,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q108266313,"MINISTER FOR ENERGY, ENTERPRISE AND SUSTAINABLE DEVELOPMENT",2020-11-21,Q17315715-39068AC9-A7F8-4507-888B-C1BF590506F9
Q18206002,"Mr Chris Fearne MD, FRCS(Ed), MP",Chris Fearne,male,1963-03-12,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q108265384,MINISTER FOR HEALTH,2016-04-28,Q18206002-11C337F5-AA21-4E82-A072-4AB57432904F
Q18206002,"Mr Chris Fearne MD, FRCS(Ed), MP",Chris Fearne,male,1963-03-12,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q5261066,Deputy Prime Minister,2017-07-17,Q18206002-B8A5B9F9-E811-4704-976F-F2FD1FAFAB31
Q20949398,"Mr Roderick Galdes BPlan, MA(ISSS), MACP, MP",Roderick Galdes,male,,,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q109689469,MINISTER FOR SOCIAL ACCOMMODATION,2020-01-15,Q20949398-DFF01170-0F0D-49D9-819A-4B2893321D68
Q23881652,"Mr Silvio Schembri BCom(Hons), MA(Econ), MP",Silvio Schembri,male,1985-05-21,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q108265621,MINISTER FOR THE ECONOMY AND INDUSTRY,2020-01-15,Q23881652-0885E8FE-373E-43DF-868B-D4EE86396811
Q37860840,"Dr Robert Abela KUOM, BA, LLD, Adv Trib Melit, MP",Robert Abela,male,1977-12-07,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q152814,Prime Minister,2020-01-13,Q37860840-6948e451-44f2-8284-cd40-dc61af09d081
Q37861005,"Mr Clayton Bartolo B. Accty (Hons), CPA, MP",Clayton Bartolo,male,1987-06-02,11,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2021-11-23,Q109689478,MINISTER FOR TOURISM AND CONSUMER PROTECTION,2020-11-23,Q37861005-B8FB21F3-C38B-4F8C-BCED-0182E6E3E330
